reven_title,rev_code,amount,year
BIOLOGICAL GARDEN GATES TAKINGS,104,2000000,2022
BOARDED PROPERTY,105,525000,2022
ELECTRICITY CHARGES FROM SHOP KIOSK ETC,114,12000000,2022
IBS ACCEPTANCE PAYMENT,125,5000000,2022
IBS ADD/DROP PAYMENT,126,157500,2022
IBS APPLICATION FORM,127,6000000,2022
INCOME FROM FITNESS CENTRE,142,200000,2022
INCOME FROM MEDICAL EXAM / REFERRAL,145,600000,2022
INCOME FROM UNIVERSITY GUEST HOUSE,148,500000,2022
INCOME FROM VERIFICATION / SCREENING,149,3000000,2022
INTER - UNIVERSITY TRANSFER,151,6000000,2022
IOE APPLICATION FORM,155,30000000,2022
IOE HOSTEL ACCOMMODATION,159,5000000,2022
IOE SCHOOL CHARGES,162,450000000,2022
JUPEB APPLICATION FORM,166,26250000,2022
JUPEB FULL SCHOOL CHARGES,170,180000000,2022
JUPEB HOSTEL ACCOMMODATION,172,10000000,2022
LATE REGISTRATION SURCHARGES,175,250000,2022
POSTGRADUATE APPLICATION FORM,178,40000000,2022
POSTGRADUATE GENERAL PAYMENT,181,10500000,2022
POSTGRADUATE LAB. & OTHER FEES,183,20000000,2022
REMEDIAL APPLICATION FORM,191,35000000,2022
REMEDIAL FEES,192,100000000,2022
RENT ON UNIVERSITY PROPERTY,194,6000000,2022
STUDENTS HOSTEL FEES,196,85000000,2022
STUDENT ID CARDS,203,493500,2022
Capitation - NHIS,207,35000000,2022
CONTRACTORS REGISTRATION FEES,209,2000000,2022
GENERAL DONATION TO UNILORIN,213,150000000,2022
IBS SCHOOL CHARGES,222,45000000,2022
INCOME FROM CHANGE OF COURSE / ADD & DROP FORM,227,4000000,2022
INCOME FROM DENTAL CLINIC,230,2000000,2022
INCOME FROM GNS OF BOOKS,234,58650000,2022
INCOME FROM UNIVERSITY FARMS,238,2000000,2022
INCOME FROM UNIVERSITY PRESS,239,30000000,2022
INCOME FROM VSAT VENTURE,240,15000000,2022
INCOME ON INVESTMENTS,242,25000000,2022
Institute of Education Clearance Charges,243,21000000,2022
IOE GENERAL PAYMENT,248,2100000,2022
JUPEB Clearance Charges,255,22000000,2022
OTHERS,261,114500000,2022
POSTGRADUATE ADD/DROP PAYMENT,264,315000,2022
Postgraduate Clearance Charges,267,30000000,2022
POSTGRADUATE SCHOOL CHARGES,272,450000000,2022
Refund (Non Salary),276,36750000,2022
Remedial Clearance Charges,282,25000000,2022
STAFF I.D CARDS,299,630000,2022
STAFF QUARTERS ELECTRICITY CHARGE,301,10000000,2022
TENDER FEES,309,7000000,2022
UNDERGRADUATE ADD/DROP PAYMENT,313,3000000,2022
Undergraduate Clearance Charges,316,350000000,2022
UNDERGRADUATE POST UTME REGISTRATION,324,80000000,2022
UNDERGRADUATE SCHOOL CHARGES,325,1900000000,2022
UNDERGRADUATE TRANSCRIPT PAYMENT,326,30000000,2022
Federal Government Recurrent Personnel,334,10050249911,2022
N H I S CONTRIBUTION,335,3600000,2022
Federal Government Recurrent Overhead Grants,338,140757805,2022
Capital Project Fund,346,540623098,2022
Rent on Staff Accomodation,348,12000000,2022
Endowment,349,40000000,2022
RENT ON MULTIPURPOSE HALL,351,5000000,2022
CENTRE FOR OPEN AND DISTANCE LEARNING (CODL),353,250000000,2022
INTER - UNIVERSITY CLEARANCE FEES,354,2750000,2022
INTRA - UNIVERSITY TRANSFER FEES,355,630000,2022
University School,356,11550000,2022
RENT ON ABUJA PROPERTY,357,22600000,2022
INCOME FROM UNILORIN PETROL STATION,358,5000000,2022
INCOME FROM TEC,359,30000000,2022
INCOME FROM APIARY,360,2000000,2022
PUBLICATION INAUGURAL,361,525000,2022
INCOME FROM LAGOS LIAISON OFFICE,362,10000000,2022
INCOME FROM ABUJA LIAISON OFFICE,363,4900000,2022
INCOME FROM HEALTH CHARGES FOR STUDENTS,364,120000000,2022
CONVOCATION UNDERGRADUATE CHARGES,112,240000000,2022
2percent Handling Charges,365,240000000,2022
SDA Repayment_Sundry Debtors,368,240000000,2022
IITA SCHOLARSHIP GRANT,369,240000000,2022
CML form,370,240000000,2022
CML School Fees,371,240000000,2022
CML Acceptance,372,240000000,2022
Land Lease,373,240000000,2022
Miscellaneous,374,240000000,2022
CCSCA Form,375,240000000,2022
CCSCA School Fees,376,240000000,2022
CCSCA Acceptance,377,240000000,2022
Income from TEC,378,240000000,2022
Income From University School,379,240000000,2022
Insurance Premium,380,240000000,2022
Electricity Recovery,381,240000000,2022
Proceeds from translators,382,240000000,2022
Lagos Liason Guest House,383,240000000,2022
Abuja Liason Office,384,240000000,2022
CCSD Form,385,240000000,2022
CCSD Fees,386,240000000,2022
CCSD Acceptance,387,240000000,2022
CCSD Project Supervision,388,240000000,2022
CCSD Faculty Charges,389,240000000,2022
"Lost, multilated or destroyed certificates",390,240000000,2022
CODL Registration fee,391,240000000,2022
CODL Addand Drop,392,240000000,2022
CODL Acceptance,393,240000000,2022
CODL Change of course,394,240000000,2022
CODL General Payment,395,240000000,2022
CODL Hostel Accomodation,396,240000000,2022
CODL Faculty Charges,397,240000000,2022
