yyyy-mm-dd,folio_code,rev_code,name,receipt numer,amount,type
8/18/20,09-000-1079,101,ACADEMIC TRANSCRIPT,184601,0,Credit
8/18/20,09-000-1075,102,ADMISSION FORM I.O.E,184602,0,Credit
8/18/20,09-000-1064,103,ADMISSION FORMS,184603,0,Credit
8/18/20,09-000-1090,104,BIOLOGICAL GARDEN GATES TAKINGS,184604,0,Credit
8/18/20,09-000-1036,105,BOARDED PROPERTY,184605,0,Credit
8/18/20,09-000-1078,106,CLINIC REGISTRATION (STAFF),184606,0,Credit
8/18/20,09-000-1074,107,COMPUTER TRAINING FORM,184607,0,Credit
8/18/20,09-000-1091,108,CONVOCATION MASTERS CHARGES,184608,0,Credit
8/18/20,09-000-1091,109,CONVOCATION OTHER POST-GRADUATE CHARGES,184609,0,Credit
8/18/20,09-000-1091,110,CONVOCATION PHD CHARGES,184610,0,Credit
8/18/20,09-000-1091,111,CONVOCATION SOUVENIR,184611,0,Credit
8/18/20,09-000-1091,112,CONVOCATION UNDERGRADUATE CHARGES,184612,0,Credit
8/18/20,09-000-1036,113,DISPOSAL OF ASSETS INCOME,184613,0,Credit
8/18/20,09-000-1026,114,ELECTRICITY CHARGES FROM SHOP KIOSK ETC,184614,0,Credit
8/18/20,09-000-1087,115,FACULTY BASED CHARGES,184615,0,Credit
8/18/20,09-101-1072,116,FOREIGN POSTGRADUATE EXAMINATION FEES,184617,0,Credit
8/18/20,09-101-1073,117,FOREIGN POSTGRADUATE LAB & OTHER FEES,184619,0,Credit
8/18/20,09-101-1072,118,FOREIGN POSTGRADUATE REGISTRATION FEES,184620,0,Credit
8/18/20,09-101-1070,119,FOREIGN POSTGRADUATE TUITION FEES,184621,0,Credit
8/18/20,09-101-1062,120,FOREIGN UNDERGRADUATE EXAMINATION FEES,184622,0,Credit
8/18/20,09-101-1064,121,FOREIGN UNDERGRADUATE LAB. & OTHER FEES,184624,0,Credit
8/18/20,09-101-1061,122,FOREIGN UNDERGRADUATE TUITION FEES,184625,0,Credit
8/18/20,09-000-1021,123,GAMES FEE,184626,0,Credit
8/18/20,09-000-1023,124,HOSTEL ACCOMMODATION (REMEDIAL I.O.E. ETC),184626,0,Credit
8/18/20,09-000-1067,125,IBS ACCEPTANCE PAYMENT,184627,0,Credit
8/18/20,09-000-1085,126,IBS ADD/DROP PAYMENT,184628,0,Credit
8/18/20,09-000-1064,127,IBS APPLICATION FORM,184629,0,Credit
