yyyy-mm-dd,folio_code,name,receipt numer,amount,type
2020-08-18,01-000-1001,Federal Government Recurrent Personnel,184601,20950,Credit
2020-08-18,01-000-1008,N H I S CONTRIBUTION,184602,17000,Credit
2020-08-18,01-000-1012,7.5% Employer's Pension Contribution,184603,14950,Credit
2020-08-18,01-000-1013,7.5% Employees' Pension Contribution,184604,300300,Credit
2020-08-18,02-000-1002,Federal Government Recurrent Overhead Grants,184605,51197200,Credit
2020-08-18,03-000-1003,Federal Governement Recurrent DTLCC Grants,184606,1450800,Credit
2020-08-18,04-000-1004,Federal Government Recurrent Research Fund,184607,1257500,Credit
2020-08-18,05-000-1005,Federal Government Recurrent Library Fund,184608,41400,Credit
2020-08-18,06-000-1006,Federal Government Recurrent Retirement Benefits Fund,184609,2516810,Credit
2020-08-18,07-000-1007,Other Federal Government Recurrent Grants & Gifts,184610,2437450,Credit
2020-08-18,08-000-1011,Other Grants & Gifts,184611,1000,Credit
2020-08-18,09-000-1088,DONATION TO WAUG,184612,4660935,Credit
2020-08-18,21-002-4051,Capital Project Fund,184613,1352500,Credit
2020-08-18,23-002-4065,EDUCATION TRUST FUND,184614,29250,Credit
2020-08-18,09-000-1022,Late Registration & Other Surcharges,184615,701901.69,Credit
2020-08-18,09-000-1025,Sundry Other Fees & Charges Students,184617,7499250,Credit
2020-08-18,09-000-1042,Students Fee-Academic Programme,184619,26000,Credit
2020-08-18,09-000-1043,Students Fees-handbook,184620,8325400,Credit
2020-08-18,09-000-1052,Remedial Fees,184621,1835950,Credit
2020-08-18,09-000-1053,Remedial form,184622,1672450,Credit
2020-08-18,09-000-1066,Income from Matric Students,184624,8565050,Credit
2020-08-18,09-000-1067,Income from Acceptance fees,184625,6509450,Credit
2020-08-18,09-000-1068,Income from verification/screening,184626,2412000,Credit
2020-08-18,09-000-1069,Income Deffered Admission,184626,557700,Credit
2020-08-18,09-000-1074,COMPUTER TRAINING FORM,184627,15000,Credit
2020-08-18,09-000-1075,ADMISION FORM I.O.E,184628,1000,Credit
2020-08-18,09-000-1084,P.G ADMISSION FORM,184629,17250,Credit
2020-08-18,09-000-1085,INCOME FROM CHANGE OF COURSE,184630,193900,Credit
2020-08-18,09-000-1087,FACULTY BASED CHARGES,184631,39000,Credit
2020-08-18,09-000-1094,JUPEB SCHOOL FEES,184632,1095742.5,Credit
2020-08-18,09-000-1095,JUPEB FORM FEES,184633,3132521.4,Credit
2020-08-18,09-101-1061,Foreign Undergraduate Tuition Fees,184634,29536719,Credit
